respondente_id,fecha,segmento,nps,comentario
R-088,2026-06-05,nuevo,6,me rechazó el pago dos veces sin explicación
R-089,2026-06-06,recurrente,6,aparecieron cargos al final que no esperaba
R-090,2026-06-07,nuevo,6,"no estaba mi billetera para pagar, casi no compro"
R-091,2026-06-08,recurrente,4,demasiados pasos para pagar desde el teléfono
R-092,2026-06-09,nuevo,4,me rechazó el pago dos veces sin explicación
R-093,2026-06-10,recurrente,4,aparecieron cargos al final que no esperaba
R-094,2026-06-11,nuevo,4,"no estaba mi billetera para pagar, casi no compro"
R-095,2026-06-12,recurrente,4,demasiados pasos para pagar desde el teléfono
R-096,2026-06-13,nuevo,4,me rechazó el pago dos veces sin explicación
R-097,2026-06-14,recurrente,4,aparecieron cargos al final que no esperaba
R-098,2026-06-15,nuevo,4,"no estaba mi billetera para pagar, casi no compro"
R-099,2026-06-16,recurrente,4,demasiados pasos para pagar desde el teléfono
R-100,2026-06-17,nuevo,4,me rechazó el pago dos veces sin explicación
R-101,2026-06-18,recurrente,4,aparecieron cargos al final que no esperaba
R-102,2026-06-19,nuevo,4,"no estaba mi billetera para pagar, casi no compro"
R-103,2026-06-20,recurrente,4,demasiados pasos para pagar desde el teléfono
R-104,2026-06-21,nuevo,4,me rechazó el pago dos veces sin explicación
R-105,2026-06-22,recurrente,2,aparecieron cargos al final que no esperaba
R-106,2026-06-23,nuevo,2,"no estaba mi billetera para pagar, casi no compro"
R-107,2026-06-24,recurrente,2,demasiados pasos para pagar desde el teléfono
R-108,2026-06-25,nuevo,2,me rechazó el pago dos veces sin explicación
R-109,2026-06-26,recurrente,2,aparecieron cargos al final que no esperaba
R-110,2026-06-27,nuevo,2,"no estaba mi billetera para pagar, casi no compro"
R-111,2026-06-28,recurrente,2,demasiados pasos para pagar desde el teléfono
R-112,2026-06-01,nuevo,2,me rechazó el pago dos veces sin explicación
R-113,2026-06-02,recurrente,2,aparecieron cargos al final que no esperaba
R-114,2026-06-03,nuevo,2,"no estaba mi billetera para pagar, casi no compro"
R-115,2026-06-04,recurrente,2,demasiados pasos para pagar desde el teléfono
R-116,2026-06-05,nuevo,2,me rechazó el pago dos veces sin explicación
R-117,2026-06-06,recurrente,2,aparecieron cargos al final que no esperaba
R-118,2026-06-07,nuevo,2,"no estaba mi billetera para pagar, casi no compro"
R-119,2026-06-08,recurrente,2,demasiados pasos para pagar desde el teléfono
R-120,2026-06-09,nuevo,2,me rechazó el pago dos veces sin explicación
