session_id,fecha,segmento,canal,llego_a_otp,completo_otp,reintentos_otp,tiempo_espera_seg
S-0045,2026-05-18,recurrente,ios,1,1,1,13
S-0046,2026-05-19,nuevo,android,1,1,0,14
S-0047,2026-05-20,recurrente,web,1,1,1,15
S-0048,2026-05-21,nuevo,ios,1,1,0,16
S-0049,2026-05-22,recurrente,android,1,1,1,17
S-0050,2026-05-23,nuevo,web,0,0,0,0
S-0051,2026-05-24,recurrente,ios,1,1,1,19
S-0052,2026-05-25,nuevo,android,1,1,0,20
S-0053,2026-05-26,recurrente,web,1,1,1,21
S-0054,2026-05-27,nuevo,ios,1,1,0,22
S-0055,2026-05-28,recurrente,android,1,1,1,23
S-0056,2026-05-01,nuevo,web,1,1,0,24
S-0057,2026-05-02,recurrente,ios,1,1,1,25
S-0058,2026-05-03,nuevo,android,1,1,0,26
S-0059,2026-05-04,recurrente,web,1,1,1,27
S-0060,2026-05-05,nuevo,ios,0,0,0,0
S-0061,2026-05-06,recurrente,android,1,1,1,9
S-0062,2026-05-07,nuevo,web,1,1,0,10
S-0063,2026-05-08,recurrente,ios,1,1,1,11
S-0064,2026-05-09,nuevo,android,1,1,0,12
S-0065,2026-05-10,recurrente,web,1,1,1,13
S-0066,2026-05-11,nuevo,ios,1,1,0,14
S-0067,2026-05-12,recurrente,android,1,1,1,15
S-0068,2026-05-13,nuevo,web,1,1,0,16
S-0069,2026-05-14,recurrente,ios,1,1,1,17
S-0070,2026-05-15,nuevo,android,0,0,0,0
S-0071,2026-05-16,recurrente,web,1,1,1,19
S-0072,2026-05-17,nuevo,ios,1,1,0,20
S-0073,2026-05-18,recurrente,android,1,1,1,21
S-0074,2026-05-19,nuevo,web,1,1,0,22
S-0075,2026-05-20,recurrente,ios,1,1,1,23
S-0076,2026-05-21,nuevo,android,1,1,0,24
S-0077,2026-05-22,recurrente,web,1,1,1,25
S-0078,2026-05-23,nuevo,ios,1,1,0,26
S-0079,2026-05-24,recurrente,android,1,1,1,27
S-0080,2026-05-25,nuevo,web,0,0,0,0
S-0081,2026-05-26,recurrente,ios,1,1,1,9
S-0082,2026-05-27,nuevo,android,1,1,0,10
S-0083,2026-05-28,recurrente,web,1,1,1,11
S-0084,2026-05-01,nuevo,ios,1,1,0,12
S-0085,2026-05-02,recurrente,android,1,1,1,13
S-0086,2026-05-03,nuevo,web,1,1,0,14
S-0087,2026-05-04,recurrente,ios,1,1,1,15
S-0088,2026-05-05,nuevo,android,1,1,0,16
S-0089,2026-05-06,recurrente,web,1,1,1,17
S-0090,2026-05-07,nuevo,ios,0,0,0,0
S-0091,2026-05-08,recurrente,android,1,1,1,19
S-0092,2026-05-09,nuevo,web,1,1,0,20
S-0093,2026-05-10,recurrente,ios,1,1,1,21
S-0094,2026-05-11,nuevo,android,1,1,0,22
S-0095,2026-05-12,recurrente,web,1,1,1,23
S-0096,2026-05-13,nuevo,ios,1,1,0,24
S-0097,2026-05-14,recurrente,android,1,1,1,25
S-0098,2026-05-15,nuevo,web,1,1,0,26
S-0099,2026-05-16,recurrente,ios,1,1,1,27
S-0100,2026-05-17,nuevo,android,0,0,0,0
S-0101,2026-05-18,recurrente,web,1,0,3,86
S-0102,2026-05-19,nuevo,ios,1,0,1,87
S-0103,2026-05-20,recurrente,android,1,0,2,88
S-0104,2026-05-21,nuevo,web,1,0,3,89
S-0105,2026-05-22,recurrente,ios,1,0,1,90
S-0106,2026-05-23,nuevo,android,1,0,2,91
S-0107,2026-05-24,recurrente,web,1,0,3,92
S-0108,2026-05-25,nuevo,ios,1,0,1,93
S-0109,2026-05-26,recurrente,android,1,0,2,94
S-0110,2026-05-27,nuevo,web,0,0,0,0
S-0111,2026-05-28,recurrente,ios,1,0,1,96
S-0112,2026-05-01,nuevo,android,1,0,2,97
S-0113,2026-05-02,recurrente,web,1,0,3,98
S-0114,2026-05-03,nuevo,ios,1,0,1,99
S-0115,2026-05-04,recurrente,android,1,0,2,100
S-0116,2026-05-05,nuevo,web,1,0,3,101
S-0117,2026-05-06,recurrente,ios,1,0,1,102
S-0118,2026-05-07,nuevo,android,1,0,2,103
S-0119,2026-05-08,recurrente,web,1,0,3,104
S-0120,2026-05-09,nuevo,ios,0,0,0,0
S-0121,2026-05-10,recurrente,android,1,0,2,46
S-0122,2026-05-11,nuevo,web,1,0,3,47
S-0123,2026-05-12,recurrente,ios,1,0,1,48
S-0124,2026-05-13,nuevo,android,1,0,2,49
S-0125,2026-05-14,recurrente,web,1,0,3,50
S-0126,2026-05-15,nuevo,ios,1,0,1,51
S-0127,2026-05-16,recurrente,android,1,0,2,52
S-0128,2026-05-17,nuevo,web,1,0,3,53
S-0129,2026-05-18,recurrente,ios,1,0,1,54
S-0130,2026-05-19,nuevo,android,0,0,0,0
S-0131,2026-05-20,recurrente,web,1,0,3,56
S-0132,2026-05-21,nuevo,ios,1,0,1,57
S-0133,2026-05-22,recurrente,android,1,0,2,58
S-0134,2026-05-23,nuevo,web,1,0,3,59
S-0135,2026-05-24,recurrente,ios,1,0,1,60
S-0136,2026-05-25,nuevo,android,1,0,2,61
S-0137,2026-05-26,recurrente,web,1,0,3,62
S-0138,2026-05-27,nuevo,ios,1,1,0,26
S-0139,2026-05-28,recurrente,android,1,1,1,27
S-0140,2026-05-01,nuevo,web,0,0,0,0
S-0141,2026-05-02,recurrente,ios,1,1,1,9
S-0142,2026-05-03,nuevo,android,1,1,0,10
S-0143,2026-05-04,recurrente,web,1,1,1,11
S-0144,2026-05-05,nuevo,ios,1,1,0,12
S-0145,2026-05-06,recurrente,android,1,1,1,13
S-0146,2026-05-07,nuevo,web,1,1,0,14
S-0147,2026-05-08,recurrente,ios,1,1,1,15
S-0148,2026-05-09,nuevo,android,1,1,0,16
S-0149,2026-05-10,recurrente,web,1,1,1,17
S-0150,2026-05-11,nuevo,ios,0,0,0,0
S-0151,2026-05-12,recurrente,android,1,1,1,19
S-0152,2026-05-13,nuevo,web,1,1,0,20
S-0153,2026-05-14,recurrente,ios,1,1,1,21
S-0154,2026-05-15,nuevo,android,1,1,0,22
S-0155,2026-05-16,recurrente,web,1,1,1,23
S-0156,2026-05-17,nuevo,ios,1,1,0,24
S-0157,2026-05-18,recurrente,android,1,1,1,25
S-0158,2026-05-19,nuevo,web,1,1,0,26
S-0159,2026-05-20,recurrente,ios,1,1,1,27
S-0160,2026-05-21,nuevo,android,0,0,0,0
S-0161,2026-05-22,recurrente,web,1,1,1,9
S-0162,2026-05-23,nuevo,ios,1,1,0,10
S-0163,2026-05-24,recurrente,android,1,1,1,11
S-0164,2026-05-25,nuevo,web,1,1,0,12
S-0165,2026-05-26,recurrente,ios,1,1,1,13
S-0166,2026-05-27,nuevo,android,1,1,0,14
S-0167,2026-05-28,recurrente,web,1,1,1,15
S-0168,2026-05-01,nuevo,ios,1,1,0,16
S-0169,2026-05-02,recurrente,android,1,1,1,17
S-0170,2026-05-03,nuevo,web,0,0,0,0
S-0171,2026-05-04,recurrente,ios,1,1,1,19
S-0172,2026-05-05,nuevo,android,1,1,0,20
S-0173,2026-05-06,recurrente,web,1,1,1,21
S-0174,2026-05-07,nuevo,ios,1,1,0,22
S-0175,2026-05-08,recurrente,android,1,1,1,23
S-0176,2026-05-09,nuevo,web,1,1,0,24
S-0177,2026-05-10,recurrente,ios,1,1,1,25
S-0178,2026-05-11,nuevo,android,1,1,0,26
S-0179,2026-05-12,recurrente,web,1,1,1,27
S-0180,2026-05-13,nuevo,ios,0,0,0,0
S-0181,2026-05-14,recurrente,android,1,1,1,9
S-0182,2026-05-15,nuevo,web,1,1,0,10
S-0183,2026-05-16,recurrente,ios,1,1,1,11
S-0184,2026-05-17,nuevo,android,1,1,0,12
S-0185,2026-05-18,recurrente,web,1,1,1,13
S-0186,2026-05-19,nuevo,ios,1,1,0,14
S-0187,2026-05-20,recurrente,android,1,1,1,15
S-0188,2026-05-21,nuevo,web,1,1,0,16
S-0189,2026-05-22,recurrente,ios,1,1,1,17
S-0190,2026-05-23,nuevo,android,0,0,0,0
S-0191,2026-05-24,recurrente,web,1,1,1,19
S-0192,2026-05-25,nuevo,ios,1,1,0,20
S-0193,2026-05-26,recurrente,android,1,1,1,21
S-0194,2026-05-27,nuevo,web,1,1,0,22
S-0195,2026-05-28,recurrente,ios,1,1,1,23
S-0196,2026-05-01,nuevo,android,1,1,0,24
S-0197,2026-05-02,recurrente,web,1,1,1,25
S-0198,2026-05-03,nuevo,ios,1,1,0,26
S-0199,2026-05-04,recurrente,android,1,1,1,27
S-0200,2026-05-05,nuevo,web,0,0,0,0
S-0201,2026-05-06,recurrente,ios,1,0,1,66
S-0202,2026-05-07,nuevo,android,1,0,2,67
S-0203,2026-05-08,recurrente,web,1,0,3,68
S-0204,2026-05-09,nuevo,ios,1,0,1,69
S-0205,2026-05-10,recurrente,android,1,0,2,70
S-0206,2026-05-11,nuevo,web,1,0,3,71
S-0207,2026-05-12,recurrente,ios,1,0,1,72
S-0208,2026-05-13,nuevo,android,1,0,2,73
S-0209,2026-05-14,recurrente,web,1,0,3,74
S-0210,2026-05-15,nuevo,ios,0,0,0,0
S-0211,2026-05-16,recurrente,android,1,0,2,76
S-0212,2026-05-17,nuevo,web,1,0,3,77
S-0213,2026-05-18,recurrente,ios,1,0,1,78
S-0214,2026-05-19,nuevo,android,1,0,2,79
S-0215,2026-05-20,recurrente,web,1,0,3,80
S-0216,2026-05-21,nuevo,ios,1,0,1,81
S-0217,2026-05-22,recurrente,android,1,0,2,82
S-0218,2026-05-23,nuevo,web,1,0,3,83
S-0219,2026-05-24,recurrente,ios,1,0,1,84
S-0220,2026-05-25,nuevo,android,0,0,0,0
S-0221,2026-05-26,recurrente,web,1,0,3,86
S-0222,2026-05-27,nuevo,ios,1,0,1,87
S-0223,2026-05-28,recurrente,android,1,0,2,88
S-0224,2026-05-01,nuevo,web,1,0,3,89
S-0225,2026-05-02,recurrente,ios,1,0,1,90
S-0226,2026-05-03,nuevo,android,1,0,2,91
S-0227,2026-05-04,recurrente,web,1,0,3,92
S-0228,2026-05-05,nuevo,ios,1,0,1,93
S-0229,2026-05-06,recurrente,android,1,0,2,94
S-0230,2026-05-07,nuevo,web,0,0,0,0
S-0231,2026-05-08,recurrente,ios,1,0,1,96
S-0232,2026-05-09,nuevo,android,1,0,2,97
S-0233,2026-05-10,recurrente,web,1,0,3,98
S-0234,2026-05-11,nuevo,ios,1,0,1,99
S-0235,2026-05-12,recurrente,android,1,0,2,100
S-0236,2026-05-13,nuevo,web,1,0,3,101
S-0237,2026-05-14,recurrente,ios,1,0,1,102
S-0238,2026-05-15,nuevo,android,1,1,0,26
S-0239,2026-05-16,recurrente,web,1,1,1,27
S-0240,2026-05-17,nuevo,ios,0,0,0,0
S-0241,2026-05-18,recurrente,android,1,1,1,9
S-0242,2026-05-19,nuevo,web,1,1,0,10
S-0243,2026-05-20,recurrente,ios,1,1,1,11
S-0244,2026-05-21,nuevo,android,1,1,0,12
S-0245,2026-05-22,recurrente,web,1,1,1,13
S-0246,2026-05-23,nuevo,ios,1,1,0,14
S-0247,2026-05-24,recurrente,android,1,1,1,15
S-0248,2026-05-25,nuevo,web,1,1,0,16
S-0249,2026-05-26,recurrente,ios,1,1,1,17
S-0250,2026-05-27,nuevo,android,0,0,0,0
S-0251,2026-05-28,recurrente,web,1,1,1,19
S-0252,2026-05-01,nuevo,ios,1,1,0,20
S-0253,2026-05-02,recurrente,android,1,1,1,21
S-0254,2026-05-03,nuevo,web,1,1,0,22
S-0255,2026-05-04,recurrente,ios,1,1,1,23
S-0256,2026-05-05,nuevo,android,1,1,0,24
S-0257,2026-05-06,recurrente,web,1,1,1,25
S-0258,2026-05-07,nuevo,ios,1,1,0,26
S-0259,2026-05-08,recurrente,android,1,1,1,27
S-0260,2026-05-09,nuevo,web,0,0,0,0
S-0261,2026-05-10,recurrente,ios,1,1,1,9
S-0262,2026-05-11,nuevo,android,1,1,0,10
S-0263,2026-05-12,recurrente,web,1,1,1,11
S-0264,2026-05-13,nuevo,ios,1,1,0,12
S-0265,2026-05-14,recurrente,android,1,1,1,13
S-0266,2026-05-15,nuevo,web,1,1,0,14
S-0267,2026-05-16,recurrente,ios,1,1,1,15
S-0268,2026-05-17,nuevo,android,1,1,0,16
S-0269,2026-05-18,recurrente,web,1,1,1,17
S-0270,2026-05-19,nuevo,ios,0,0,0,0
S-0271,2026-05-20,recurrente,android,1,1,1,19
S-0272,2026-05-21,nuevo,web,1,1,0,20
S-0273,2026-05-22,recurrente,ios,1,1,1,21
S-0274,2026-05-23,nuevo,android,1,1,0,22
S-0275,2026-05-24,recurrente,web,1,1,1,23
S-0276,2026-05-25,nuevo,ios,1,1,0,24
S-0277,2026-05-26,recurrente,android,1,1,1,25
S-0278,2026-05-27,nuevo,web,1,1,0,26
S-0279,2026-05-28,recurrente,ios,1,1,1,27
S-0280,2026-05-01,nuevo,android,0,0,0,0
S-0281,2026-05-02,recurrente,web,1,1,1,9
S-0282,2026-05-03,nuevo,ios,1,1,0,10
S-0283,2026-05-04,recurrente,android,1,1,1,11
S-0284,2026-05-05,nuevo,web,1,1,0,12
S-0285,2026-05-06,recurrente,ios,1,1,1,13
S-0286,2026-05-07,nuevo,android,1,1,0,14
S-0287,2026-05-08,recurrente,web,1,1,1,15
S-0288,2026-05-09,nuevo,ios,1,1,0,16
S-0289,2026-05-10,recurrente,android,1,1,1,17
S-0290,2026-05-11,nuevo,web,0,0,0,0
S-0291,2026-05-12,recurrente,ios,1,1,1,19
S-0292,2026-05-13,nuevo,android,1,1,0,20
S-0293,2026-05-14,recurrente,web,1,1,1,21
S-0294,2026-05-15,nuevo,ios,1,1,0,22
S-0295,2026-05-16,recurrente,android,1,1,1,23
S-0296,2026-05-17,nuevo,web,1,1,0,24
S-0297,2026-05-18,recurrente,ios,1,1,1,25
S-0298,2026-05-19,nuevo,android,1,1,0,26
S-0299,2026-05-20,recurrente,web,1,1,1,27
S-0300,2026-05-21,nuevo,ios,0,0,0,0
S-0301,2026-05-22,recurrente,android,1,0,2,46
S-0302,2026-05-23,nuevo,web,1,0,3,47
S-0303,2026-05-24,recurrente,ios,1,0,1,48
S-0304,2026-05-25,nuevo,android,1,0,2,49
S-0305,2026-05-26,recurrente,web,1,0,3,50
S-0306,2026-05-27,nuevo,ios,1,0,1,51
S-0307,2026-05-28,recurrente,android,1,0,2,52
S-0308,2026-05-01,nuevo,web,1,0,3,53
S-0309,2026-05-02,recurrente,ios,1,0,1,54
S-0310,2026-05-03,nuevo,android,0,0,0,0
S-0311,2026-05-04,recurrente,web,1,0,3,56
S-0312,2026-05-05,nuevo,ios,1,0,1,57
S-0313,2026-05-06,recurrente,android,1,0,2,58
S-0314,2026-05-07,nuevo,web,1,0,3,59
S-0315,2026-05-08,recurrente,ios,1,0,1,60
S-0316,2026-05-09,nuevo,android,1,0,2,61
S-0317,2026-05-10,recurrente,web,1,0,3,62
S-0318,2026-05-11,nuevo,ios,1,0,1,63
S-0319,2026-05-12,recurrente,android,1,0,2,64
S-0320,2026-05-13,nuevo,web,0,0,0,0
S-0321,2026-05-14,recurrente,ios,1,0,1,66
S-0322,2026-05-15,nuevo,android,1,0,2,67
S-0323,2026-05-16,recurrente,web,1,0,3,68
S-0324,2026-05-17,nuevo,ios,1,0,1,69
S-0325,2026-05-18,recurrente,android,1,0,2,70
S-0326,2026-05-19,nuevo,web,1,0,3,71
S-0327,2026-05-20,recurrente,ios,1,0,1,72
S-0328,2026-05-21,nuevo,android,1,0,2,73
S-0329,2026-05-22,recurrente,web,1,0,3,74
S-0330,2026-05-23,nuevo,ios,0,0,0,0
S-0331,2026-05-24,recurrente,android,1,0,2,76
S-0332,2026-05-25,nuevo,web,1,0,3,77
S-0333,2026-05-26,recurrente,ios,1,0,1,78
S-0334,2026-05-27,nuevo,android,1,0,2,79
S-0335,2026-05-28,recurrente,web,1,0,3,80
S-0336,2026-05-01,nuevo,ios,1,0,1,81
S-0337,2026-05-02,recurrente,android,1,0,2,82
S-0338,2026-05-03,nuevo,web,1,1,0,26
S-0339,2026-05-04,recurrente,ios,1,1,1,27
S-0340,2026-05-05,nuevo,android,0,0,0,0
S-0341,2026-05-06,recurrente,web,1,1,1,9
S-0342,2026-05-07,nuevo,ios,1,1,0,10
S-0343,2026-05-08,recurrente,android,1,1,1,11
S-0344,2026-05-09,nuevo,web,1,1,0,12
S-0345,2026-05-10,recurrente,ios,1,1,1,13
S-0346,2026-05-11,nuevo,android,1,1,0,14
S-0347,2026-05-12,recurrente,web,1,1,1,15
S-0348,2026-05-13,nuevo,ios,1,1,0,16
S-0349,2026-05-14,recurrente,android,1,1,1,17
S-0350,2026-05-15,nuevo,web,0,0,0,0
