sesion_id,fecha,segmento,canal,llego_a_pago,completo_pago,error_pago,tiempo_checkout_seg
S-0189,2026-06-22,nuevo,ios,1,1,0,108
S-0190,2026-06-23,nuevo,android,1,1,0,109
S-0191,2026-06-24,nuevo,web,1,1,0,110
S-0192,2026-06-25,nuevo,ios,1,1,0,111
S-0193,2026-06-26,nuevo,android,1,1,0,112
S-0194,2026-06-27,nuevo,web,1,1,0,113
S-0195,2026-06-28,nuevo,ios,1,1,0,114
S-0196,2026-06-01,nuevo,android,1,1,0,115
S-0197,2026-06-02,nuevo,web,1,1,0,116
S-0198,2026-06-03,nuevo,ios,1,1,0,117
S-0199,2026-06-04,nuevo,android,1,1,0,118
S-0200,2026-06-05,nuevo,web,1,1,0,119
S-0201,2026-06-06,recurrente,ios,1,0,1,175
S-0202,2026-06-07,recurrente,android,1,0,1,176
S-0203,2026-06-08,recurrente,web,1,0,1,177
S-0204,2026-06-09,recurrente,ios,1,0,1,178
S-0205,2026-06-10,recurrente,android,1,0,1,179
S-0206,2026-06-11,recurrente,web,1,0,1,180
S-0207,2026-06-12,recurrente,ios,1,0,1,181
S-0208,2026-06-13,recurrente,android,1,0,1,182
S-0209,2026-06-14,recurrente,web,1,0,1,183
S-0210,2026-06-15,recurrente,ios,1,0,1,184
S-0211,2026-06-16,recurrente,android,1,0,1,185
S-0212,2026-06-17,recurrente,web,1,0,1,186
S-0213,2026-06-18,recurrente,ios,1,0,1,187
S-0214,2026-06-19,recurrente,android,1,0,1,188
S-0215,2026-06-20,recurrente,web,1,0,1,189
S-0216,2026-06-21,recurrente,ios,1,0,1,190
S-0217,2026-06-22,recurrente,android,1,0,1,191
S-0218,2026-06-23,recurrente,web,1,0,1,192
S-0219,2026-06-24,recurrente,ios,1,0,1,193
S-0220,2026-06-25,recurrente,android,1,0,1,194
S-0221,2026-06-26,recurrente,web,1,0,1,195
S-0222,2026-06-27,recurrente,ios,1,0,1,196
S-0223,2026-06-28,recurrente,android,1,0,0,197
S-0224,2026-06-01,recurrente,web,1,0,0,198
S-0225,2026-06-02,recurrente,ios,1,0,0,199
S-0226,2026-06-03,recurrente,android,1,0,0,200
S-0227,2026-06-04,recurrente,web,1,0,0,201
S-0228,2026-06-05,recurrente,ios,1,0,0,202
S-0229,2026-06-06,recurrente,android,1,0,0,203
S-0230,2026-06-07,recurrente,web,1,0,0,204
S-0231,2026-06-08,recurrente,ios,1,0,0,205
S-0232,2026-06-09,recurrente,android,1,0,0,206
S-0233,2026-06-10,recurrente,web,1,0,0,207
S-0234,2026-06-11,recurrente,ios,1,0,0,208
S-0235,2026-06-12,recurrente,android,1,0,0,209
S-0236,2026-06-13,recurrente,web,1,0,0,210
S-0237,2026-06-14,recurrente,ios,1,0,0,211
S-0238,2026-06-15,recurrente,android,1,0,0,212
S-0239,2026-06-16,recurrente,web,1,0,0,213
S-0240,2026-06-17,recurrente,ios,1,0,0,214
S-0241,2026-06-18,recurrente,android,1,0,0,215
S-0242,2026-06-19,recurrente,web,1,0,0,216
S-0243,2026-06-20,recurrente,ios,1,0,0,217
S-0244,2026-06-21,recurrente,android,1,0,0,218
S-0245,2026-06-22,recurrente,web,1,0,0,219
S-0246,2026-06-23,recurrente,ios,1,0,0,220
S-0247,2026-06-24,recurrente,android,1,0,0,221
S-0248,2026-06-25,recurrente,web,1,0,0,222
S-0249,2026-06-26,recurrente,ios,1,0,0,223
S-0250,2026-06-27,recurrente,android,1,0,0,224
S-0251,2026-06-28,recurrente,web,1,0,0,225
S-0252,2026-06-01,recurrente,ios,1,0,0,226
S-0253,2026-06-02,recurrente,android,1,0,0,227
S-0254,2026-06-03,recurrente,web,1,0,0,228
S-0255,2026-06-04,recurrente,ios,1,0,0,229
S-0256,2026-06-05,recurrente,android,1,0,0,175
S-0257,2026-06-06,recurrente,web,1,0,0,176
S-0258,2026-06-07,recurrente,ios,1,0,0,177
S-0259,2026-06-08,recurrente,android,1,1,1,98
S-0260,2026-06-09,recurrente,web,1,1,1,99
S-0261,2026-06-10,recurrente,ios,1,1,1,100
S-0262,2026-06-11,recurrente,android,1,1,1,101
S-0263,2026-06-12,recurrente,web,1,1,1,102
S-0264,2026-06-13,recurrente,ios,1,1,1,103
S-0265,2026-06-14,recurrente,android,1,1,0,104
S-0266,2026-06-15,recurrente,web,1,1,0,105
S-0267,2026-06-16,recurrente,ios,1,1,0,106
S-0268,2026-06-17,recurrente,android,1,1,0,107
S-0269,2026-06-18,recurrente,web,1,1,0,108
S-0270,2026-06-19,recurrente,ios,1,1,0,109
S-0271,2026-06-20,recurrente,android,1,1,0,110
S-0272,2026-06-21,recurrente,web,1,1,0,111
S-0273,2026-06-22,recurrente,ios,1,1,0,112
S-0274,2026-06-23,recurrente,android,1,1,0,113
S-0275,2026-06-24,recurrente,web,1,1,0,114
S-0276,2026-06-25,recurrente,ios,1,1,0,115
S-0277,2026-06-26,recurrente,android,1,1,0,116
S-0278,2026-06-27,recurrente,web,1,1,0,117
S-0279,2026-06-28,recurrente,ios,1,1,0,118
S-0280,2026-06-01,recurrente,android,1,1,0,119
S-0281,2026-06-02,recurrente,web,1,1,0,80
S-0282,2026-06-03,recurrente,ios,1,1,0,81
S-0283,2026-06-04,recurrente,android,1,1,0,82
S-0284,2026-06-05,recurrente,web,1,1,0,83
S-0285,2026-06-06,recurrente,ios,1,1,0,84
S-0286,2026-06-07,recurrente,android,1,1,0,85
S-0287,2026-06-08,recurrente,web,1,1,0,86
S-0288,2026-06-09,recurrente,ios,1,1,0,87
S-0289,2026-06-10,recurrente,android,1,1,0,88
S-0290,2026-06-11,recurrente,web,1,1,0,89
S-0291,2026-06-12,recurrente,ios,1,1,0,90
S-0292,2026-06-13,recurrente,android,1,1,0,91
S-0293,2026-06-14,recurrente,web,1,1,0,92
S-0294,2026-06-15,recurrente,ios,1,1,0,93
S-0295,2026-06-16,recurrente,android,1,1,0,94
S-0296,2026-06-17,recurrente,web,1,1,0,95
S-0297,2026-06-18,recurrente,ios,1,1,0,96
S-0298,2026-06-19,recurrente,android,1,1,0,97
S-0299,2026-06-20,recurrente,web,1,1,0,98
S-0300,2026-06-21,recurrente,ios,1,1,0,99
S-0301,2026-06-22,recurrente,android,1,1,0,100
S-0302,2026-06-23,recurrente,web,1,1,0,101
S-0303,2026-06-24,recurrente,ios,1,1,0,102
S-0304,2026-06-25,recurrente,android,1,1,0,103
S-0305,2026-06-26,recurrente,web,1,1,0,104
S-0306,2026-06-27,recurrente,ios,1,1,0,105
S-0307,2026-06-28,recurrente,android,1,1,0,106
S-0308,2026-06-01,recurrente,web,1,1,0,107
S-0309,2026-06-02,recurrente,ios,1,1,0,108
S-0310,2026-06-03,recurrente,android,1,1,0,109
S-0311,2026-06-04,recurrente,web,1,1,0,110
S-0312,2026-06-05,recurrente,ios,1,1,0,111
S-0313,2026-06-06,recurrente,android,1,1,0,112
S-0314,2026-06-07,recurrente,web,1,1,0,113
S-0315,2026-06-08,recurrente,ios,1,1,0,114
S-0316,2026-06-09,recurrente,android,1,1,0,115
S-0317,2026-06-10,recurrente,web,1,1,0,116
S-0318,2026-06-11,recurrente,ios,1,1,0,117
S-0319,2026-06-12,recurrente,android,1,1,0,118
S-0320,2026-06-13,recurrente,web,1,1,0,119
S-0321,2026-06-14,recurrente,ios,1,1,0,80
S-0322,2026-06-15,recurrente,android,1,1,0,81
S-0323,2026-06-16,recurrente,web,1,1,0,82
S-0324,2026-06-17,recurrente,ios,1,1,0,83
S-0325,2026-06-18,recurrente,android,1,1,0,84
S-0326,2026-06-19,recurrente,web,1,1,0,85
S-0327,2026-06-20,recurrente,ios,1,1,0,86
S-0328,2026-06-21,recurrente,android,1,1,0,87
S-0329,2026-06-22,recurrente,web,1,1,0,88
S-0330,2026-06-23,recurrente,ios,1,1,0,89
S-0331,2026-06-24,recurrente,android,1,1,0,90
S-0332,2026-06-25,recurrente,web,1,1,0,91
S-0333,2026-06-26,recurrente,ios,1,1,0,92
S-0334,2026-06-27,recurrente,android,1,1,0,93
S-0335,2026-06-28,recurrente,web,1,1,0,94
S-0336,2026-06-01,recurrente,ios,1,1,0,95
S-0337,2026-06-02,recurrente,android,1,1,0,96
S-0338,2026-06-03,recurrente,web,1,1,0,97
S-0339,2026-06-04,recurrente,ios,1,1,0,98
S-0340,2026-06-05,recurrente,android,1,1,0,99
S-0341,2026-06-06,recurrente,web,1,1,0,100
S-0342,2026-06-07,recurrente,ios,1,1,0,101
S-0343,2026-06-08,recurrente,android,1,1,0,102
S-0344,2026-06-09,recurrente,web,1,1,0,103
S-0345,2026-06-10,recurrente,ios,1,1,0,104
S-0346,2026-06-11,recurrente,android,1,1,0,105
S-0347,2026-06-12,recurrente,web,1,1,0,106
S-0348,2026-06-13,recurrente,ios,1,1,0,107
S-0349,2026-06-14,recurrente,android,1,1,0,108
S-0350,2026-06-15,recurrente,web,1,1,0,109
S-0351,2026-06-16,recurrente,ios,1,1,0,110
S-0352,2026-06-17,recurrente,android,1,1,0,111
S-0353,2026-06-18,recurrente,web,1,1,0,112
S-0354,2026-06-19,recurrente,ios,1,1,0,113
S-0355,2026-06-20,recurrente,android,1,1,0,114
S-0356,2026-06-21,recurrente,web,1,1,0,115
S-0357,2026-06-22,recurrente,ios,1,1,0,116
S-0358,2026-06-23,recurrente,android,1,1,0,117
S-0359,2026-06-24,recurrente,web,1,1,0,118
S-0360,2026-06-25,recurrente,ios,1,1,0,119
S-0361,2026-06-26,recurrente,android,1,1,0,80
S-0362,2026-06-27,recurrente,web,1,1,0,81
S-0363,2026-06-28,recurrente,ios,1,1,0,82
S-0364,2026-06-01,recurrente,android,1,1,0,83
S-0365,2026-06-02,recurrente,web,1,1,0,84
S-0366,2026-06-03,recurrente,ios,1,1,0,85
S-0367,2026-06-04,recurrente,android,1,1,0,86
S-0368,2026-06-05,recurrente,web,1,1,0,87
S-0369,2026-06-06,recurrente,ios,1,1,0,88
S-0370,2026-06-07,recurrente,android,1,1,0,89
S-0371,2026-06-08,recurrente,web,1,1,0,90
S-0372,2026-06-09,recurrente,ios,1,1,0,91
S-0373,2026-06-10,recurrente,android,1,1,0,92
S-0374,2026-06-11,recurrente,web,1,1,0,93
S-0375,2026-06-12,recurrente,ios,1,1,0,94
S-0376,2026-06-13,recurrente,android,1,1,0,95
S-0377,2026-06-14,recurrente,web,1,1,0,96
S-0378,2026-06-15,recurrente,ios,1,1,0,97
S-0379,2026-06-16,recurrente,android,1,1,0,98
S-0380,2026-06-17,recurrente,web,1,1,0,99
S-0381,2026-06-18,recurrente,ios,1,1,0,100
S-0382,2026-06-19,recurrente,android,1,1,0,101
S-0383,2026-06-20,recurrente,web,1,1,0,102
S-0384,2026-06-21,recurrente,ios,1,1,0,103
S-0385,2026-06-22,recurrente,android,1,1,0,104
S-0386,2026-06-23,recurrente,web,1,1,0,105
S-0387,2026-06-24,recurrente,ios,1,1,0,106
S-0388,2026-06-25,recurrente,android,1,1,0,107
S-0389,2026-06-26,recurrente,web,1,1,0,108
S-0390,2026-06-27,recurrente,ios,1,1,0,109
S-0391,2026-06-28,recurrente,android,1,1,0,110
S-0392,2026-06-01,recurrente,web,1,1,0,111
S-0393,2026-06-02,recurrente,ios,1,1,0,112
S-0394,2026-06-03,recurrente,android,1,1,0,113
S-0395,2026-06-04,recurrente,web,1,1,0,114
S-0396,2026-06-05,recurrente,ios,1,1,0,115
S-0397,2026-06-06,recurrente,android,1,1,0,116
S-0398,2026-06-07,recurrente,web,1,1,0,117
S-0399,2026-06-08,recurrente,ios,1,1,0,118
S-0400,2026-06-09,recurrente,android,1,1,0,119
S-0401,2026-06-10,nuevo,web,0,0,0,0
S-0402,2026-06-11,recurrente,ios,0,0,0,0
S-0403,2026-06-12,nuevo,android,0,0,0,0
S-0404,2026-06-13,recurrente,web,0,0,0,0
S-0405,2026-06-14,nuevo,ios,0,0,0,0
S-0406,2026-06-15,recurrente,android,0,0,0,0
S-0407,2026-06-16,nuevo,web,0,0,0,0
S-0408,2026-06-17,recurrente,ios,0,0,0,0
S-0409,2026-06-18,nuevo,android,0,0,0,0
S-0410,2026-06-19,recurrente,web,0,0,0,0
S-0411,2026-06-20,nuevo,ios,0,0,0,0
S-0412,2026-06-21,recurrente,android,0,0,0,0
S-0413,2026-06-22,nuevo,web,0,0,0,0
S-0414,2026-06-23,recurrente,ios,0,0,0,0
S-0415,2026-06-24,nuevo,android,0,0,0,0
S-0416,2026-06-25,recurrente,web,0,0,0,0
S-0417,2026-06-26,nuevo,ios,0,0,0,0
S-0418,2026-06-27,recurrente,android,0,0,0,0
S-0419,2026-06-28,nuevo,web,0,0,0,0
S-0420,2026-06-01,recurrente,ios,0,0,0,0
S-0421,2026-06-02,nuevo,android,0,0,0,0
S-0422,2026-06-03,recurrente,web,0,0,0,0
S-0423,2026-06-04,nuevo,ios,0,0,0,0
S-0424,2026-06-05,recurrente,android,0,0,0,0
S-0425,2026-06-06,nuevo,web,0,0,0,0
S-0426,2026-06-07,recurrente,ios,0,0,0,0
S-0427,2026-06-08,nuevo,android,0,0,0,0
S-0428,2026-06-09,recurrente,web,0,0,0,0
S-0429,2026-06-10,nuevo,ios,0,0,0,0
S-0430,2026-06-11,recurrente,android,0,0,0,0
S-0431,2026-06-12,nuevo,web,0,0,0,0
S-0432,2026-06-13,recurrente,ios,0,0,0,0
S-0433,2026-06-14,nuevo,android,0,0,0,0
S-0434,2026-06-15,recurrente,web,0,0,0,0
S-0435,2026-06-16,nuevo,ios,0,0,0,0
S-0436,2026-06-17,recurrente,android,0,0,0,0
S-0437,2026-06-18,nuevo,web,0,0,0,0
S-0438,2026-06-19,recurrente,ios,0,0,0,0
S-0439,2026-06-20,nuevo,android,0,0,0,0
S-0440,2026-06-21,recurrente,web,0,0,0,0
S-0441,2026-06-22,nuevo,ios,0,0,0,0
S-0442,2026-06-23,recurrente,android,0,0,0,0
S-0443,2026-06-24,nuevo,web,0,0,0,0
S-0444,2026-06-25,recurrente,ios,0,0,0,0
S-0445,2026-06-26,nuevo,android,0,0,0,0
S-0446,2026-06-27,recurrente,web,0,0,0,0
S-0447,2026-06-28,nuevo,ios,0,0,0,0
S-0448,2026-06-01,recurrente,android,0,0,0,0
S-0449,2026-06-02,nuevo,web,0,0,0,0
S-0450,2026-06-03,recurrente,ios,0,0,0,0
S-0451,2026-06-04,nuevo,android,0,0,0,0
S-0452,2026-06-05,recurrente,web,0,0,0,0
S-0453,2026-06-06,nuevo,ios,0,0,0,0
S-0454,2026-06-07,recurrente,android,0,0,0,0
S-0455,2026-06-08,nuevo,web,0,0,0,0
S-0456,2026-06-09,recurrente,ios,0,0,0,0
S-0457,2026-06-10,nuevo,android,0,0,0,0
S-0458,2026-06-11,recurrente,web,0,0,0,0
S-0459,2026-06-12,nuevo,ios,0,0,0,0
S-0460,2026-06-13,recurrente,android,0,0,0,0
S-0461,2026-06-14,nuevo,web,0,0,0,0
S-0462,2026-06-15,recurrente,ios,0,0,0,0
S-0463,2026-06-16,nuevo,android,0,0,0,0
S-0464,2026-06-17,recurrente,web,0,0,0,0
S-0465,2026-06-18,nuevo,ios,0,0,0,0
S-0466,2026-06-19,recurrente,android,0,0,0,0
S-0467,2026-06-20,nuevo,web,0,0,0,0
S-0468,2026-06-21,recurrente,ios,0,0,0,0
S-0469,2026-06-22,nuevo,android,0,0,0,0
S-0470,2026-06-23,recurrente,web,0,0,0,0
S-0471,2026-06-24,nuevo,ios,0,0,0,0
S-0472,2026-06-25,recurrente,android,0,0,0,0
S-0473,2026-06-26,nuevo,web,0,0,0,0
S-0474,2026-06-27,recurrente,ios,0,0,0,0
S-0475,2026-06-28,nuevo,android,0,0,0,0
S-0476,2026-06-01,recurrente,web,0,0,0,0
S-0477,2026-06-02,nuevo,ios,0,0,0,0
S-0478,2026-06-03,recurrente,android,0,0,0,0
S-0479,2026-06-04,nuevo,web,0,0,0,0
S-0480,2026-06-05,recurrente,ios,0,0,0,0
S-0481,2026-06-06,nuevo,android,0,0,0,0
S-0482,2026-06-07,recurrente,web,0,0,0,0
S-0483,2026-06-08,nuevo,ios,0,0,0,0
S-0484,2026-06-09,recurrente,android,0,0,0,0
S-0485,2026-06-10,nuevo,web,0,0,0,0
S-0486,2026-06-11,recurrente,ios,0,0,0,0
S-0487,2026-06-12,nuevo,android,0,0,0,0
S-0488,2026-06-13,recurrente,web,0,0,0,0
S-0489,2026-06-14,nuevo,ios,0,0,0,0
S-0490,2026-06-15,recurrente,android,0,0,0,0
S-0491,2026-06-16,nuevo,web,0,0,0,0
S-0492,2026-06-17,recurrente,ios,0,0,0,0
S-0493,2026-06-18,nuevo,android,0,0,0,0
S-0494,2026-06-19,recurrente,web,0,0,0,0
S-0495,2026-06-20,nuevo,ios,0,0,0,0
S-0496,2026-06-21,recurrente,android,0,0,0,0
S-0497,2026-06-22,nuevo,web,0,0,0,0
S-0498,2026-06-23,recurrente,ios,0,0,0,0
S-0499,2026-06-24,nuevo,android,0,0,0,0
S-0500,2026-06-25,recurrente,web,0,0,0,0
